Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,"10,41,96,861","11,32,935","10,13,22,779","17,41,147","1,15,98,32,679","33,48,05,269"
2,India,"4,46,82,784","5,30,740","4,41,50,289","1,755","91,52,65,788","1,40,66,31,776"
3,France,"3,95,24,311","1,64,233","3,92,64,546","95,532","27,14,90,188","6,55,84,518"
4,Germany,"3,77,79,833","1,65,711","3,73,98,100","2,16,022","12,23,32,384","8,38,83,596"
5,Brazil,"3,68,24,580","6,97,074","3,59,19,372","2,08,134","6,37,76,166","21,53,53,593"
6,Japan,"3,25,88,442","68,399","2,15,67,425","1,09,52,618","9,21,44,639","12,55,84,838"
7,S. Korea,"3,01,97,066","33,486","2,97,40,877","4,22,703","1,58,04,065","5,13,29,899"
8,Italy,"2,54,53,789","1,86,833","2,50,14,986","2,51,970","26,54,78,247","6,02,62,770"
9,UK,"2,42,74,361","2,04,171","2,40,20,088","50,102","52,25,26,476","6,84,97,907"
10,Russia,"2,19,58,696","3,95,108","2,13,56,008","2,07,580","27,34,00,000","14,58,05,947"
11,Turkey,"1,70,42,722","1,01,492",N/A,N/A,"16,27,43,369","8,55,61,976"
12,Spain,"1,37,31,478","1,18,434","1,35,57,699","55,345","47,10,36,328","4,67,19,142"
13,Vietnam,"1,15,26,508","43,186","1,06,12,479","8,70,843","8,58,26,548","9,89,53,541"
14,Australia,"1,12,95,446","18,615","1,12,35,771","41,060","7,88,35,048","2,60,68,792"
15,Argentina,"1,00,37,135","1,30,421","98,77,032","29,682","3,57,16,069","4,60,10,234"
16,Taiwan,"95,69,611","16,356","91,29,766","4,23,489","3,02,07,485","2,38,88,595"
17,Netherlands,"85,82,500","22,989","85,47,771","11,740","2,59,84,435","1,72,11,447"
18,Iran,"75,64,350","1,44,749","73,37,549","82,052","5,44,20,785","8,60,22,837"
19,Mexico,"73,68,252","3,32,198","66,06,633","4,29,421","1,93,56,195","13,15,62,772"
20,Indonesia,"67,30,289","1,60,817","65,65,208","4,264","11,41,58,919","27,91,34,505"
21,Poland,"63,80,225","1,18,736","53,35,940","9,25,549","3,81,18,630","3,77,39,785"
22,Colombia,"63,56,309","1,42,486","61,79,501","34,322","3,69,51,507","5,15,12,762"
23,Austria,"57,80,229","21,689","57,30,189","28,351","21,12,73,524","90,66,710"
24,Greece,"57,08,301","35,630","56,62,212","10,459","10,22,28,365","1,03,16,637"
25,Portugal,"55,63,907","26,022","55,32,366","5,519","4,59,15,651","1,01,40,570"
26,Ukraine,"53,70,131","1,11,020","52,53,302","5,809","3,26,03,805","4,31,92,122"
27,Chile,"51,18,981","63,812","50,51,555","3,614","4,81,27,301","1,92,50,195"
28,Malaysia,"50,36,593","36,942","49,89,861","9,790","6,76,65,089","3,31,81,072"
29,Israel,"47,86,189","12,193","47,68,242","5,754","4,13,73,364","93,26,000"
30,DPRK,"47,72,813",74,"47,72,739",0,,"2,59,90,679"
31,Thailand,"47,26,984","33,865","46,92,636",483,"1,72,70,775","7,00,78,203"
32,Belgium,"46,91,499","33,557","46,44,681","13,261","3,65,48,544","1,16,68,278"
33,Czechia,"45,90,019","42,312","45,38,304","9,403","5,68,93,223","1,07,36,784"
34,Canada,"45,50,256","50,380","44,44,013","55,863","6,63,43,123","3,83,88,419"
35,Peru,"44,81,621","2,18,931","42,58,688","4,002","3,77,54,603","3,36,84,208"
36,Switzerland,"43,85,701","14,452","43,66,770","4,479","2,33,18,743","87,73,637"
37,Philippines,"40,73,454","65,802","39,98,048","9,604","3,43,43,332","11,25,08,994"
38,South Africa,"40,55,966","1,02,595","39,12,506","40,865","2,64,73,049","6,07,56,135"
39,Romania,"33,25,006","67,576","32,52,104","5,326","2,63,89,988","1,90,31,335"
40,Denmark,"31,73,247","8,145","31,63,849","1,253","12,91,44,754","58,34,950"
41,Hong Kong,"28,77,280","13,358","25,09,483","3,54,439","7,61,23,870","76,04,299"
42,Sweden,"26,93,458","23,246","26,58,039","12,173","1,94,10,527","1,02,18,971"
43,Serbia,"24,71,198","17,701","24,40,527","12,970","1,21,54,486","86,53,016"
